date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
2020-03-05,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,21,6
2020-03-06,7,5,7,0,0,0,0,7,5,0,0,0,0,0,0,28,7
2020-03-07,8,1,8,0,0,0,0,7,0,1,1,0,0,1,1,32,4
2020-03-08,9,1,9,0,0,0,0,8,1,1,0,0,0,1,0,41,9
2020-03-09,15,6,15,0,0,0,0,11,3,4,3,0,0,4,3,67,26
2020-03-10,17,2,17,0,0,0,0,15,4,2,-2,0,0,2,-2,89,22
2020-03-11,20,3,19,0,0,1,1,17,2,2,0,0,0,2,0,99,10
2020-03-12,27,7,26,0,0,1,0,19,2,7,5,0,0,7,5,118,19
2020-03-13,28,1,27,0,0,1,0,21,2,6,-1,0,0,6,-1,189,71
2020-03-14,42,14,41,0,0,1,0,29,8,12,6,0,0,12,6,231,42
2020-03-15,57,15,56,0,0,1,0,43,14,10,-2,3,3,13,1,230,-1
2020-03-16,105,48,103,0,0,2,1,70,27,28,18,5,2,33,20,287,57
2020-03-17,136,31,134,0,0,2,0,93,23,35,7,6,1,41,8,398,111
2020-03-18,165,29,162,0,0,3,1,118,25,41,6,3,-3,44,3,486,88
2020-03-19,215,50,209,0,0,6,3,153,35,47,6,9,6,56,12,608,122
2020-03-20,264,49,257,0,0,7,1,194,41,54,7,9,0,63,7,814,206
2020-03-21,313,49,304,1,1,8,1,227,33,62,8,15,6,77,14,884,70
2020-03-22,364,51,354,1,0,9,1,270,43,63,1,21,6,84,7,950,66
2020-03-23,393,29,379,2,1,12,3,290,20,69,6,20,-1,89,5,1098,148
2020-03-24,400,7,379,2,0,19,7,288,-2,71,2,20,0,91,2,1180,82
2020-03-25,401,1,375,2,0,24,5,280,-8,70,-1,25,5,95,4,1200,20
2020-03-26,408,7,378,2,0,28,4,281,1,73,3,24,-1,97,2,1203,3
2020-03-27,452,44,413,2,0,37,9,298,17,91,18,24,0,115,18,1252,49
2020-03-28,511,59,468,2,0,41,4,352,54,90,-1,26,2,116,1,1380,128
2020-03-29,584,73,539,2,0,43,2,423,71,90,0,26,0,116,0,1480,100
2020-03-30,584,0,518,16,14,50,7,400,-23,92,2,26,0,118,2,1536,56
2020-03-31,628,44,552,20,4,56,6,435,35,91,-1,26,0,117,-1,1582,46
2020-04-01,631,3,540,32,12,59,3,428,-7,85,-6,27,1,112,-5,1717,135
2020-04-02,668,37,556,49,17,63,4,446,18,85,0,25,-2,110,-2,1934,217
2020-04-03,719,51,560,89,40,70,7,450,4,85,0,25,0,110,0,2106,172
2020-04-04,748,29,560,106,17,82,12,474,24,63,-22,23,-2,86,-24,2274,168
2020-04-05,782,34,576,115,9,91,9,457,-17,96,33,23,0,119,33,2390,116
