date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,229,229,221,1,1,7,7,94,94,101,101,26,26,127,127,4324,4324
2020-02-25,322,93,311,1,0,10,3,162,68,114,13,35,9,149,22,8623,4299
2020-02-26,400,78,385,3,2,12,2,221,59,128,14,36,1,164,15,9587,964
2020-02-27,650,250,588,45,42,17,5,284,63,248,120,56,20,304,140,12014,2427
2020-02-28,888,238,821,46,1,21,4,412,128,345,97,64,8,409,105,15695,3681
2020-02-29,1128,240,1049,50,4,29,8,543,131,401,56,105,41,506,97,18661,2966
2020-03-01,1694,566,1577,83,33,34,5,798,255,639,238,140,35,779,273,21127,2466
2020-03-02,2036,342,1835,149,66,52,18,927,129,742,103,166,26,908,129,23345,2218
2020-03-03,2502,466,2263,160,11,79,27,1000,73,1034,292,229,63,1263,355,25856,2511
2020-03-04,3089,587,2706,276,116,107,28,1065,65,1346,312,295,66,1641,378,29837,3981
2020-03-05,3858,769,3296,414,138,148,41,1155,90,1790,444,351,56,2141,500,32362,2525
2020-03-06,4636,778,3916,523,109,197,49,1060,-95,2394,604,462,111,2856,715,36359,3997
2020-03-07,5883,1247,5061,589,66,233,36,1843,783,2651,257,567,105,3218,362,42062,5703
2020-03-08,7375,1492,6387,622,33,366,133,2180,337,3557,906,650,83,4207,989,49937,7875
2020-03-09,9172,1797,7985,724,102,463,97,2936,756,4316,759,733,83,5049,842,53826,3889
2020-03-10,10149,977,8514,1004,280,631,168,2599,-337,5038,722,877,144,5915,866,60761,6935
2020-03-11,12462,2313,10590,1045,41,827,196,3724,1125,5838,800,1028,151,6866,951,73154,12393
2020-03-12,15113,2651,12839,1258,213,1016,189,5036,1312,6650,812,1153,125,7803,937,86011,12857
2020-03-13,17660,2547,14955,1439,181,1266,250,6201,1165,7426,776,1328,175,8754,951,97488,11477
2020-03-14,21157,3497,17750,1966,527,1441,175,7860,1659,8372,946,1518,190,9890,1136,109170,11682
2020-03-15,24747,3590,20603,2335,369,1809,368,9268,1408,9663,1291,1672,154,11335,1445,124899,15729
2020-03-16,27980,3233,23073,2749,414,2158,349,10197,929,11025,1362,1851,179,12876,1541,137962,13063
2020-03-17,31506,3526,26062,2941,192,2503,345,11108,911,12894,1869,2060,209,14954,2078,148657,10695
2020-03-18,35713,4207,28710,4025,1084,2978,475,12090,982,14363,1469,2257,197,16620,1666,165541,16884
2020-03-19,41035,5322,33190,4440,415,3405,427,14935,2845,15757,1394,2498,241,18255,1635,182777,17236
2020-03-20,47021,5986,37860,5129,689,4032,627,19185,4250,16020,263,2655,157,18675,420,206886,24109
2020-03-21,53578,6557,42681,6072,943,4825,793,22116,2931,17708,1688,2857,202,20565,1890,233222,26336
2020-03-22,59138,5560,46638,7024,952,5476,651,23783,1667,19846,2138,3009,152,22855,2290,258402,25180
2020-03-23,63927,4789,50418,7432,408,6077,601,26522,2739,20692,846,3204,195,23896,1041,275468,17066
2020-03-24,69176,5249,54030,8326,894,6820,743,28697,2175,21937,1245,3396,192,25333,1437,296964,21496
2020-03-25,74386,5210,57521,9362,1036,7503,683,30920,2223,23112,1175,3489,93,26601,1268,324445,27481
2020-03-26,80539,6153,62013,10361,999,8165,662,33648,2728,24753,1641,3612,123,28365,1764,361060,36615
2020-03-27,86498,5959,66414,10950,589,9134,969,36653,3005,26029,1276,3732,120,29761,1396,394079,33019
2020-03-28,92472,5974,70065,12384,1434,10023,889,39533,2880,26676,647,3856,124,30532,771,429526,35447
2020-03-29,97689,5217,73880,13030,646,10779,756,42588,3055,27386,710,3906,50,31292,760,454030,24504
2020-03-30,101739,4050,75528,14620,1590,11591,812,43752,1164,27795,409,3981,75,31776,484,477359,23329
2020-03-31,105792,4053,77635,15729,1109,12428,837,45420,1668,28192,397,4023,42,32215,439,506968,29609
2020-04-01,110574,4782,80572,16847,1118,13155,727,48134,2714,28403,211,4035,12,32438,223,541423,34455
2020-04-02,115242,4668,83049,18278,1431,13915,760,50456,2322,28540,137,4053,18,32593,155,581232,39809
2020-04-03,119827,4585,85388,19758,1480,14681,766,52579,2123,28741,201,4068,15,32809,216,619849,38617
2020-04-04,124632,4805,88274,20996,1238,15362,681,55270,2691,29010,269,3994,-74,33004,195,657224,37375
2020-04-05,128948,4316,91246,21815,819,15887,525,58320,3050,28949,-61,3977,-17,32926,-78,691461,34237
