date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,79
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0
2020-03-03,4,4,4,0,0,0,0,3,3,1,1,0,0,1,1,122,0
2020-03-04,5,1,5,0,0,0,0,4,1,1,0,0,0,1,0,122,0
2020-03-05,7,2,7,0,0,0,0,5,1,2,1,0,0,2,1,122,0
2020-03-06,10,3,10,0,0,0,0,6,1,4,2,0,0,4,2,122,0
2020-03-07,14,4,14,0,0,0,0,7,1,6,2,1,1,7,3,194,72
2020-03-08,23,9,23,0,0,0,0,14,7,7,1,2,1,9,2,228,34
2020-03-09,33,10,33,0,0,0,0,21,7,10,3,2,0,12,3,267,39
2020-03-10,52,19,50,2,2,0,0,28,7,19,9,3,1,22,10,399,132
2020-03-11,77,25,74,3,1,0,0,42,14,28,9,4,1,32,10,527,128
2020-03-12,107,30,102,4,1,1,1,54,12,43,15,5,1,48,16,593,66
2020-03-13,163,56,157,4,0,2,1,93,39,58,15,6,1,64,16,846,253
2020-03-14,206,43,199,5,1,2,0,119,26,68,10,12,6,80,16,1006,160
2020-03-15,378,172,367,5,0,6,4,275,156,73,5,19,7,92,12,1006,0
2020-03-16,378,0,367,5,0,6,0,275,0,73,0,19,0,92,0,1006,0
2020-03-17,385,7,368,10,5,7,1,239,-36,107,34,22,3,129,37,1727,721
2020-03-18,455,70,436,12,2,7,0,273,34,141,34,22,0,163,34,2187,460
2020-03-19,523,68,491,20,8,12,5,292,19,169,28,30,8,199,36,2203,16
2020-03-20,642,119,600,29,9,13,1,368,76,198,29,34,4,232,33,2656,453
2020-03-21,782,140,720,34,5,28,15,448,80,233,35,39,5,272,40,2656,0
2020-03-22,954,172,885,34,0,35,7,604,156,235,2,46,7,281,9,3050,394
2020-03-23,1023,69,914,68,34,41,6,619,15,249,14,46,0,295,14,3150,100
2020-03-24,1110,87,975,79,11,56,15,618,-1,308,59,49,3,357,62,3712,562
2020-03-25,1222,112,1058,90,11,74,18,685,67,308,0,65,16,373,16,4114,402
2020-03-26,1297,75,1094,117,27,86,12,728,43,300,-8,66,1,366,-7,4600,486
2020-03-27,1391,94,1164,125,8,102,16,757,29,341,41,66,0,407,41,4923,323
2020-03-28,1505,114,1234,151,26,120,18,811,54,351,10,72,6,423,16,5561,638
2020-03-29,1594,89,1293,172,21,129,9,862,51,356,5,75,3,431,8,5950,389
2020-03-30,1682,88,1357,178,6,147,18,926,64,353,-3,78,3,431,0,6377,427
2020-03-31,1746,64,1389,193,15,164,17,955,29,354,1,80,2,434,3,6973,596
2020-04-01,1870,124,1483,214,21,173,9,1062,107,345,-9,76,-4,421,-13,7675,702
2020-04-02,2003,133,1587,229,15,187,14,1170,108,339,-6,78,2,417,-4,8496,821
2020-04-03,2109,106,1659,246,17,204,17,1236,66,343,4,80,2,423,6,8993,497
2020-04-04,2220,111,1753,257,11,210,6,1319,83,353,10,81,1,434,11,9863,870
2020-04-05,2285,65,1795,273,16,217,7,1363,44,352,-1,80,-1,432,-2,10476,613
