date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140
2020-02-25,2,2,2,0,0,0,0,0,0,2,2,0,0,2,2,296,156
2020-02-26,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,363,67
2020-02-27,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,410,47
2020-02-28,8,6,7,1,1,0,0,2,2,5,3,0,0,5,3,437,27
2020-02-29,11,3,10,1,0,0,0,3,1,7,2,0,0,7,2,531,94
2020-03-01,13,2,12,1,0,0,0,5,2,7,0,0,0,7,0,572,41
2020-03-02,13,0,12,1,0,0,0,5,0,7,0,0,0,7,0,613,41
2020-03-03,19,6,18,1,0,0,0,8,3,10,3,0,0,10,3,697,84
2020-03-04,38,19,37,1,0,0,0,20,12,15,5,2,2,17,7,776,79
2020-03-05,61,23,60,1,0,0,0,31,11,26,11,3,1,29,12,776,0
2020-03-06,79,18,78,1,0,0,0,38,7,35,9,5,2,40,11,1097,321
2020-03-07,113,34,112,1,0,0,0,51,13,54,19,7,2,61,21,1331,234
2020-03-08,166,53,165,1,0,0,0,67,16,91,37,7,0,98,37,1618,287
2020-03-09,208,42,206,1,0,1,1,90,23,107,16,9,2,116,18,2018,400
2020-03-10,264,56,260,3,2,1,0,129,39,91,-16,40,31,131,15,2573,555
2020-03-11,320,56,314,5,2,1,0,173,44,87,-4,54,14,141,10,2804,231
2020-03-12,364,44,352,7,2,5,4,193,20,100,13,59,5,159,18,3165,361
2020-03-13,470,106,455,10,3,5,0,244,51,134,34,77,18,211,52,4049,884
2020-03-14,630,160,614,10,0,6,1,367,123,160,26,87,10,247,36,4595,546
2020-03-15,781,151,763,10,0,8,2,481,114,175,15,107,20,282,35,5132,537
2020-03-16,866,85,841,11,1,14,6,559,78,175,0,107,0,282,0,5910,778
2020-03-17,1053,187,1024,12,1,17,3,552,-7,329,154,143,36,472,190,6727,817
2020-03-18,1330,277,1291,17,5,22,5,704,152,427,98,160,17,587,115,7606,879
2020-03-19,1482,152,1422,22,5,38,16,743,39,501,74,178,18,679,92,8873,1267
2020-03-20,1793,311,1713,33,11,47,9,923,180,601,100,189,11,790,111,10405,1532
2020-03-21,2012,219,1905,35,2,72,25,1039,116,664,63,202,13,866,76,11909,1504
2020-03-22,2277,265,2144,42,7,91,19,1223,184,706,42,215,13,921,55,13264,1355
2020-03-23,2461,184,2301,51,9,109,18,1225,2,838,132,238,23,1076,155,13851,587
